Time(days),O3(molecules_m^-3),O(molecules_m^-3),O1D(molecules_m^-3),NO(molecules_m^-3),NO2(molecules_m^-3),Cl(molecules_m^-3),ClO(molecules_m^-3),OH(molecules_m^-3),HO2(molecules_m^-3),H(molecules_m^-3),Br(molecules_m^-3),BrO(molecules_m^-3),CH4(molecules_m^-3),H2O(molecules_m^-3),N2O(molecules_m^-3),HNO3(molecules_m^-3),HCl(molecules_m^-3),ClONO2(molecules_m^-3),HOCl(molecules_m^-3),ClOOCl(molecules_m^-3),ClOO(molecules_m^-3),BrCl(molecules_m^-3),OClO(molecules_m^-3)
0.4166666666666667,5.1340945307113056e+17,310046852.1156664,238.59903436317103,1692834844.759713,1910721921250466.0,49894490.35879395,250847945696.84186,331010055298.4338,184645571620.0888,24573.061255868735,147438631.13433054,970766808550447.8,9.043052872107632e+16,7.855151256890026e+17,4.0190611107861816e+18,46506756219720.29,602679099255141.5,21780127642400.844,22254673694540.84,20627838708511.277,2622549098132.4263,337352792350.5906,4744175989319.796
0.4375,5.132278354889405e+17,314928572.16159105,242.5457929981266,1721146301.8364944,1910667621648144.8,49894490.35879395,238991108994.08838,337609170026.465,188336111190.47778,24573.061255868735,147438631.13433054,1019671207316251.1,9.043052872107632e+16,7.855151256890026e+17,4.0190611107861816e+18,46527392172086.7,611949840995098.9,21780127642400.844,22254673694540.84,20627838708511.277,2622549098132.4263,337352792350.5906,4784373080643.801
0.4583333333333333,5.1304439684165926e+17,318465736.7065074,245.4505009927743,1742133273.8518252,1910612824409579.8,49894490.35879395,228229331234.8334,342884250498.4642,191288662177.70743,24573.061255868735,147438631.13433054,1068557490165763.0,9.043052872107632e+16,7.855151256890026e+17,4.0190611107861816e+18,46550085880390.46,621220582735056.2,21780127642400.844,22254673694540.84,20627838708511.277,2622549098132.4263,337352792350.5906,4824554223249.691
0.4791666666666667,5.128597028651509e+17,320641945.3290877,247.30170083545593,1755692381.930853,1910557354409745.5,49894490.35879395,218414140411.32758,346812460776.9419,193490446951.42603,24573.061255868735,147438631.13433054,1117425516622614.0,9.043052872107632e+16,7.855151256890026e+17,4.0190611107861816e+18,46574872594635.77,630491324475013.6,21780127642400.844,22254673694540.84,20627838708511.277,2622549098132.4263,337352792350.5906,4864720152106.406
0.5,5.126743246134331e+17,321446582.7766877,248.09248232584653,1761751573.8257325,1910501063417528.8,49894490.35879395,209423426835.00024,349376370376.07886,194931700967.16956,24573.061255868735,147438631.13433054,1166275211119675.5,9.043052872107632e+16,7.855151256890026e+17,4.0190611107861816e+18,46601779163351.67,639762066214971.0,21780127642400.844,22254673694540.84,20627838708511.277,2622549098132.4263,337352792350.5906,4904870866157.112
0.5208333333333334,5.124888360365936e+17,320874884.2556134,247.8204975013955,1760270638.7843986,1910443826978539.0,49894490.35879395,201155691109.5038,350564015486.8977,195605707026.76453,24573.061255868735,147438631.13433054,1215106560790175.2,9.043052872107632e+16,7.855151256890026e+17,4.0190611107861816e+18,46630823939067.195,649032807954928.2,21780127642400.844,22254673694540.84,20627838708511.277,2622549098132.4263,337352792350.5906,4945005884801.676
0.5416666666666666,5.1230381154856896e+17,318927973.77883095,246.48795566641854,1751241591.1181781,1910385541957132.2,49894490.35879395,193525779465.9523,350368942584.24304,195508819763.3194,24573.061255868735,147438631.13433054,1263919613806916.2,9.043052872107632e+16,7.855151256890026e+17,4.0190611107861816e+18,46662016711248.664,658303549694885.5,21780127642400.844,22254673694540.84,20627838708511.277,2622549098132.4263,337352792350.5906,4985124423401.882
0.5625,5.1211982359499725e+17,315612879.05283016,244.10159876286554,1734688916.6855083,1910326124560133.0,49894490.35879395,186461660102.8222,348790234612.65,194640480378.97504,24573.061255868735,147438631.13433054,1312714478002085.8,9.043052872107632e+16,7.855151256890026e+17,4.0190611107861816e+18,46695358666416.914,667574291434842.6,21780127642400.844,22254673694540.84,20627838708511.277,2622549098132.4263,337352792350.5906,5025225514887.264
0.5833333333333334,5.119374402309495e+17,310942520.4014341,240.67265759305883,1710669679.461503,1910265508722478.0,49894490.35879395,179901943230.46774,345832519792.67194,193003221708.18463,24573.061255868735,147438631.13433054,1361491319591746.2,9.043052872107632e+16,7.855151256890026e+17,4.0190611107861816e+18,46730842375294.07,676845033174799.9,21780127642400.844,22254673694540.84,20627838708511.277,2622549098132.4263,337352792350.5906,5065308095342.677
0.6041666666666666,5.1175722271850464e+17,304935674.03345007,236.21678906649598,1679273481.769886,1910203644767600.8,49894490.35879395,173793955482.3061,341505962952.9682,190602663537.5112,24573.061255868735,147438631.13433054,1410250361903459.8,9.043052872107632e+16,7.855151256890026e+17,4.0190611107861816e+18,46768451807119.65,686115774914757.1,21780127642400.844,22254673694540.84,20627838708511.277,2622549098132.4263,337352792350.5906,5105371063896.761
